value,flagInfo,parameter,period,coordinates,summary,coverage
208.1,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T13:30:00Z', 'local': '2016-11-10T19:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T14:30:00Z', 'local': '2016-11-10T20:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T13:30:00Z', 'local': '2016-11-10T19:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T14:30:00Z', 'local': '2016-11-10T20:00:00+05:30'}}"
227.0,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T14:30:00Z', 'local': '2016-11-10T20:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T15:30:00Z', 'local': '2016-11-10T21:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T14:30:00Z', 'local': '2016-11-10T20:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T15:30:00Z', 'local': '2016-11-10T21:00:00+05:30'}}"
232.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T15:30:00Z', 'local': '2016-11-10T21:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T16:30:00Z', 'local': '2016-11-10T22:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T15:30:00Z', 'local': '2016-11-10T21:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T16:30:00Z', 'local': '2016-11-10T22:00:00+05:30'}}"
240.7,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T16:30:00Z', 'local': '2016-11-10T22:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T17:30:00Z', 'local': '2016-11-10T23:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T16:30:00Z', 'local': '2016-11-10T22:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T17:30:00Z', 'local': '2016-11-10T23:00:00+05:30'}}"
265.8,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T17:30:00Z', 'local': '2016-11-10T23:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T18:30:00Z', 'local': '2016-11-11T00:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T17:30:00Z', 'local': '2016-11-10T23:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T18:30:00Z', 'local': '2016-11-11T00:00:00+05:30'}}"
287.9,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T18:30:00Z', 'local': '2016-11-11T00:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T19:30:00Z', 'local': '2016-11-11T01:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T18:30:00Z', 'local': '2016-11-11T00:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T19:30:00Z', 'local': '2016-11-11T01:00:00+05:30'}}"
321.4,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T19:30:00Z', 'local': '2016-11-11T01:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T20:30:00Z', 'local': '2016-11-11T02:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T19:30:00Z', 'local': '2016-11-11T01:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T20:30:00Z', 'local': '2016-11-11T02:00:00+05:30'}}"
334.2,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T20:30:00Z', 'local': '2016-11-11T02:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T21:30:00Z', 'local': '2016-11-11T03:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T20:30:00Z', 'local': '2016-11-11T02:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T21:30:00Z', 'local': '2016-11-11T03:00:00+05:30'}}"
329.1,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T21:30:00Z', 'local': '2016-11-11T03:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T22:30:00Z', 'local': '2016-11-11T04:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T21:30:00Z', 'local': '2016-11-11T03:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T22:30:00Z', 'local': '2016-11-11T04:00:00+05:30'}}"
309.5,{'hasFlags': False},"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}","{'label': 'raw', 'interval': '01:00:00', 'datetimeFrom': {'utc': '2016-11-10T22:30:00Z', 'local': '2016-11-11T04:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T23:30:00Z', 'local': '2016-11-11T05:00:00+05:30'}}",,,"{'expectedCount': 1, 'expectedInterval': '01:00:00', 'observedCount': 1, 'observedInterval': '01:00:00', 'percentComplete': 100.0, 'percentCoverage': 100.0, 'datetimeFrom': {'utc': '2016-11-10T22:30:00Z', 'local': '2016-11-11T04:00:00+05:30'}, 'datetimeTo': {'utc': '2016-11-10T23:30:00Z', 'local': '2016-11-11T05:00:00+05:30'}}"
